i=9, j=2, k=5, Temperature=31.1195
i=10, j=2, k=5, Temperature=30.3545
i=11, j=2, k=5, Temperature=28.6187
i=12, j=2, k=5, Temperature=25.8035
i=13, j=2, k=5, Temperature=24.0494
i=14, j=2, k=5, Temperature=22.8302
i=15, j=2, k=5, Temperature=21.7945
i=16, j=2, k=5, Temperature=22.3
i=0, j=2, k=6, Temperature=22.3
i=1, j=2, k=6, Temperature=20.7823
i=2, j=2, k=6, Temperature=21.7694
i=3, j=2, k=6, Temperature=23.1258
i=4, j=2, k=6, Temperature=25.2019
i=5, j=2, k=6, Temperature=28.3413
i=6, j=2, k=6, Temperature=30.2778
i=7, j=2, k=6, Temperature=31.0139
i=8, j=2, k=6, Temperature=31.6654
i=9, j=2, k=6, Temperature=30.9823
i=10, j=2, k=6, Temperature=30.2297
i=11, j=2, k=6, Temperature=28.5146
i=12, j=2, k=6, Temperature=25.755
i=13, j=2, k=6, Temperature=23.9982
i=14, j=2, k=6, Temperature=22.7979
i=15, j=2, k=6, Temperature=21.7923
i=16, j=2, k=6, Temperature=22.3
i=0, j=2, k=7, Temperature=22.3
i=1, j=2, k=7, Temperature=20.7807
i=2, j=2, k=7, Temperature=21.7434
i=3, j=2, k=7, Temperature=23.0868
i=4, j=2, k=7, Temperature=25.1669
i=5, j=2, k=7, Temperature=28.2796
i=6, j=2, k=7, Temperature=30.1152
i=7, j=2, k=7, Temperature=30.6155
i=8, j=2, k=7, Temperature=30.9408
i=9, j=2, k=7, Temperature=30.6185
i=10, j=2, k=7, Temperature=30.0742
i=11, j=2, k=7, Temperature=28.4502
i=12, j=2, k=7, Temperature=25.7126
i=13, j=2, k=7, Temperature=23.9496
i=14, j=2, k=7, Temperature=22.7646
i=15, j=2, k=7, Temperature=21.7898
i=16, j=2, k=7, Temperature=22.3
i=0, j=2, k=8, Temperature=22.3
i=1, j=2, k=8, Temperature=20.6803
i=2, j=2, k=8, Temperature=20.5
i=3, j=2, k=8, Temperature=21.1374
i=4, j=2, k=8, Temperature=23.1756
i=5, j=2, k=8, Temperature=26.62
i=6, j=2, k=8, Temperature=28.2703
i=7, j=2, k=8, Temperature=28.5282
i=8, j=2, k=8, Temperature=28.6037
i=9, j=2, k=8, Temperature=28.7176
i=10, j=2, k=8, Temperature=28.1889
i=11, j=2, k=8, Temperature=26.6992
i=12, j=2, k=8, Temperature=23.5016
i=13, j=2, k=8, Temperature=21.589
i=14, j=2, k=8, Temperature=21.1534
i=15, j=2, k=8, Temperature=21.6276
i=16, j=2, k=8, Temperature=22.3
i=0, j=3, k=0, Temperature=22.3
i=1, j=3, k=0, Temperature=22.3
i=2, j=3, k=0, Temperature=22.3
i=3, j=3, k=0, Temperature=25.08
i=4, j=3, k=0, Temperature=25.08
i=5, j=3, k=0, Temperature=30.64
i=6, j=3, k=0, Temperature=30.64
i=7, j=3, k=0, Temperature=30.6387
i=8, j=3, k=0, Temperature=30.7689
i=9, j=3, k=0, Temperature=178.488
i=10, j=3, k=0, Temperature=30.64
i=11, j=3, k=0, Temperature=30.64
i=12, j=3, k=0, Temperature=25.08
i=13, j=3, k=0, Temperature=25.08
i=14, j=3, k=0, Temperature=22.3
i=15, j=3, k=0, Temperature=22.3
i=16, j=3, k=0, Temperature=22.3
i=0, j=3, k=1, Temperature=22.3
i=1, j=3, k=1, Temperature=22.3
i=2, j=3, k=1, Temperature=16.4689
i=3, j=3, k=1, Temperature=18.9538
i=4, j=3, k=1, Temperature=22.2995
i=5, j=3, k=1, Temperature=25.7955
i=6, j=3, k=1, Temperature=27.7481
i=7, j=3, k=1, Temperature=28.3749
i=8, j=3, k=1, Temperature=29.2525
i=9, j=3, k=1, Temperature=26.2133
i=10, j=3, k=1, Temperature=27.2937
i=11, j=3, k=1, Temperature=26.1849
i=12, j=3, k=1, Temperature=23.8539
i=13, j=3, k=1, Temperature=21.6295
i=14, j=3, k=1, Temperature=21.0408
i=15, j=3, k=1, Temperature=22.3
i=16, j=3, k=1, Temperature=22.3
i=0, j=3, k=2, Temperature=22.3
i=1, j=3, k=2, Temperature=22.3
i=2, j=3, k=2, Temperature=16.3915
i=3, j=3, k=2, Temperature=19.1338
i=4, j=3, k=2, Temperature=22.9537
i=5, j=3, k=2, Temperature=27.169
i=6, j=3, k=2, Temperature=29.3688
